Table 11,,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,,,
"by State by State, Tribal, and Other Agencies, 2015",,,,,,,,,,,,,,
State,State/Tribal/Other Agencies,Unit/Office,"Violent crime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2",Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft",Arson3,
NORTH CAROLINAÐState Agencies,North Carolina Highway Patrol,,0,0,,0,0,0,0,0,0,0,0,
,State Park Rangers: ,Fort Fisher,0,0,,0,0,0,0,0,0,0,0,
,,Goose Creek,0,0,,0,0,0,0,0,0,0,0,
NORTH CAROLINAÐTribal Agencies,Cherokee Tribal,,101,1,8,,13,79,672,116,508,48,11,
NORTH CAROLINAÐOther Agencies,Raleigh-Durham International Airport,,1,0,,0,1,0,118,1,105,12,0,
,WakeMed Campus Police,,7,0,,0,0,7,92,3,87,2,0,
NORTH DAKOTAÐState Agencies,North Dakota Highway Patrol,,2,0,0,,0,2,14,1,0,13,0,
NORTH DAKOTAÐTribal Agencies,Fort Totten Agency,,48,1,5,,3,39,37,12,22,3,2,
,Standing Rock Agency,,72,3,7,,0,62,45,12,25,8,2,
OHIOÐState Agencies,Ohio Department of Natural Resources,,0,0,0,,0,0,40,11,29,0,0,
,Ohio State Highway Patrol,,353,2,54,,8,289,288,12,227,49,3,
OHIOÐOther Agencies,Cleveland Metropolitan Park District,,13,0,1,,6,6,237,2,226,9,1,
,Hamilton County Park District,,1,0,0,,1,0,58,3,55,0,0,
,Holden Arboretum,,0,0,,0,0,0,0,0,0,0,0,
,Lake Metroparks,,0,0,,0,0,0,12,0,12,0,0,
,Toledo Fire Department,Fire Investigation Unit,0,0,,0,0,0,0,0,0,0,168,
,University Hospitals Portage Medical Center,,0,0,,0,0,0,5,0,5,0,0,
OKLAHOMAÐState Agencies,Capitol Park Police,,0,0,0,,0,0,2,0,2,0,0,
OKLAHOMAÐTribal Agencies,Anadarko Agency,,19,2,1,,0,16,47,11,30,6,3,
,Cherokee Nation,,10,0,0,,0,10,33,14,9,10,1,
,Chickasaw Nation,,40,0,3,,4,33,881,46,761,74,0,
,Choctaw Nation,,32,0,0,,1,31,292,6,268,18,0,
,Citizen Potawatomi Nation,,5,0,1,,1,3,141,25,102,14,0,
,Comanche Nation,,5,0,1,,1,3,76,5,65,6,0,
,Concho Agency,,13,0,1,,1,11,25,4,19,2,2,
,Eastern Shawnee Tribal,,0,0,0,,0,0,39,0,36,3,0,
,Iowa Tribal,,1,0,0,,0,1,7,0,7,0,0,
,Kaw Tribal,,0,0,0,,0,0,2,0,1,1,0,
,Kickapoo Tribal,,4,0,0,,0,4,10,4,4,2,0,
,Miami Agency,,1,0,0,,0,1,41,4,29,8,0,
,Miami Tribal,,0,0,0,,0,0,1,1,0,0,0,
,Muscogee Nation Tribal,,6,0,0,,2,4,45,3,31,11,,
,Osage Nation,,12,1,1,,1,9,78,16,48,14,,
,Otoe-Missouria Tribal,,5,0,0,,0,5,5,0,5,0,,
,Pawnee Tribal,,1,0,0,,0,1,9,1,7,1,0,
,Ponca Tribal,,12,0,0,,0,12,32,5,21,6,1,
,Sac and Fox Tribal,,4,0,0,,0,4,24,7,11,6,0,
,Seminole Nation Lighthorse ,,9,0,0,,0,9,27,19,5,3,0,
,Tonkawa Tribal,,1,0,0,,0,1,13,4,9,0,1,
,Wyandotte Nation,,4,0,0,,1,3,315,8,306,1,0,
OKLAHOMAÐOther Agencies,Jenks Public Schools,,6,0,0,,0,6,29,0,29,0,0,
,McAlester Public Schools,,0,0,0,,0,0,1,0,1,0,0,
,Putnam City Campus,,2,0,0,,0,2,15,1,14,0,0,
OREGONÐState Agencies,Liquor Commission:,Baker County,0,0,0,,0,0,0,0,0,0,0,
,,Benton County,0,0,0,,0,0,0,0,0,0,0,
,,Clackamas County,0,0,0,,0,0,0,0,0,0,0,
,,Clatsop County,0,0,0,,0,0,0,0,0,0,0,
,,Columbia County,0,0,0,,0,0,0,0,0,0,0,
,,Coos County,0,0,0,,0,0,0,0,0,0,0,
,,Crook County,0,0,0,,0,0,0,0,0,0,0,
,,Deschutes County,0,0,0,,0,0,0,0,0,0,0,
,,Douglas County,0,0,0,,0,0,0,0,0,0,0,
,,Gilliam County,0,0,0,,0,0,0,0,0,0,0,
,,Grant County ,0,0,0,,0,0,0,0,0,0,0,
,,Hood River County,0,0,0,,0,0,0,0,0,0,0,
,,Jackson County,0,0,0,,0,0,0,0,0,0,0,
,,Klamath County,0,0,0,,0,0,0,0,0,0,0,
,,Lane County,0,0,0,,0,0,0,0,0,0,0,
,,Lincoln County,0,0,0,,0,0,0,0,0,0,0,
,,Marion County,0,0,0,,0,0,0,0,0,0,0,
,,Multnomah County,0,0,0,,0,0,0,0,0,0,0,
,,Polk County,0,0,0,,0,0,0,0,0,0,0,
,,Sherman County,0,0,0,,0,0,0,0,0,0,0,
,,Umatilla County,0,0,0,,0,0,0,0,0,0,0,
,,Washington County,0,0,0,,0,0,0,0,0,0,0,
,,Wheeler County,0,0,0,,0,0,0,0,0,0,0,
,,Yamhill County,0,0,0,,0,0,0,0,0,0,0,
,State Police: ,Baker County,10,0,0,,0,10,6,1,4,1,2,
,,Benton County,3,0,3,,0,0,240,8,225,7,0,
,,Clackamas County,9,1,1,,0,7,13,1,9,3,0,
,,Clatsop County,5,0,0,,0,5,7,0,7,0,0,
,,Columbia County,8,3,1,,1,3,7,0,7,0,3,
,,Coos County,7,0,0,,0,7,13,1,11,1,2,
,,Crook County,2,0,0,,0,2,1,0,1,0,0,
,,Curry County,4,1,0,,0,3,37,0,33,4,0,
,,Deschutes County,6,0,0,,1,5,5,1,2,2,1,
,,Douglas County,0,0,0,,0,0,16,0,14,2,3,
,,Gilliam County,1,0,1,,0,0,1,0,1,0,0,
,,Grant County,1,0,0,,0,1,3,0,2,1,0,
,,Harney County,6,1,0,,0,5,1,0,1,0,0,
,,Hood River County,3,0,0,,0,3,9,0,6,3,0,
,,Jackson County,9,0,0,,0,9,13,1,7,5,2,
,,Jefferson County,3,0,2,,0,1,0,0,0,0,1,
,,Josephine County,66,3,10,,0,53,13,2,5,6,2,
,,Klamath County,29,0,1,,0,28,25,4,10,11,2,
,,Lake County,1,0,1,,0,0,2,0,2,0,0,
,,Lane County,19,0,3,,0,16,47,6,34,7,1,
,,Lincoln County,3,0,0,,0,3,17,1,16,0,0,
,,Linn County,14,0,0,,0,14,20,1,13,6,0,
,,Malheur County,12,0,2,,0,10,1,0,0,1,0,
,,Marion County,119,0,5,,0,114,85,1,70,14,4,
,,Morrow County,2,0,1,,0,1,6,2,3,1,0,
,,Multnomah County,3,0,0,,0,3,13,0,11,2,1,
,,Polk County,7,0,0,,0,7,3,0,1,2,1,
,,Sherman County,0,0,0,,0,0,5,0,3,2,0,
,,Tillamook County,9,0,3,,0,6,37,2,35,0,1,
,,Umatilla County,9,0,0,,0,9,10,1,9,0,1,
,,Union County,1,0,0,,0,1,4,0,3,1,0,
,,Wallowa County,2,0,0,,0,2,0,0,0,0,0,
,,Wasco County,4,0,0,,0,4,14,3,8,3,0,
,,Washington County,10,0,0,,0,10,10,0,8,2,0,
,,Wheeler County,0,0,0,,0,0,0,0,0,0,0,
,,Yamhill County,1,0,0,,0,1,3,0,2,1,0,
OREGONÐTribal Agencies,Grand Ronde Tribal,,7,0,0,,1,6,69,5,63,1,1,
PENNSYLVANIAÐState Agencies,Bureau of Forestry:,Adams County,0,0,0,,0,0,0,0,0,0,0,
,,Allegheny County,0,0,0,,0,0,0,0,0,0,0,
,,Armstrong County,0,0,0,,0,0,0,0,0,0,0,
,,Beaver County,0,0,0,,0,0,0,0,0,0,0,
,,Bedford County,0,0,0,,0,0,0,0,0,0,2,
,,Berks County,0,0,0,,0,0,0,0,0,0,9,
,,Blair County,0,0,0,,0,0,0,0,0,0,0,
,,Bradford County,0,0,0,,0,0,0,0,0,0,0,
,,Bucks County,0,0,0,,0,0,0,0,0,0,0,
,,Butler County,0,0,0,,0,0,0,0,0,0,0,
,,Cambria County,0,0,0,,0,0,0,0,0,0,1,
,,Cameron County,0,0,0,,0,0,0,0,0,0,0,
,,Carbon County,0,0,0,,0,0,0,0,0,0,6,
,,Centre County,0,0,0,,0,0,0,0,0,0,3,
,,Chester County,0,0,0,,0,0,0,0,0,0,0,
,,Clarion County,0,0,0,,0,0,0,0,0,0,0,
,,Clearfield County,0,0,0,,0,0,0,0,0,0,3,
,,Clinton County,0,0,0,,0,0,0,0,0,0,3,
,,Columbia County,0,0,0,,0,0,0,0,0,0,3,
,,Crawford County,0,0,0,,0,0,0,0,0,0,0,
,,Cumberland County,0,0,0,,0,0,0,0,0,0,1,
,,Dauphin County,0,0,0,,0,0,0,0,0,0,0,
,,Delaware County,0,0,0,,0,0,0,0,0,0,0,
,,Elk County,0,0,0,,0,0,0,0,0,0,0,
,,Erie County,0,0,0,,0,0,0,0,0,0,0,
,,Fayette County,0,0,0,,0,0,0,0,0,0,7,
,,Forest County,0,0,0,,0,0,0,0,0,0,0,
,,Franklin County,0,0,0,,0,0,0,0,0,0,1,
,,Fulton County,0,0,0,,0,0,0,0,0,0,0,
,,Greene County,0,0,0,,0,0,0,0,0,0,0,
,,Huntingdon County,0,0,0,,0,0,0,0,0,0,11,
,,Indiana County,0,0,0,,0,0,0,0,0,0,0,
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0,
,,Juniata County,0,0,0,,0,0,0,0,0,0,0,
,,Lackawanna County,0,0,0,,0,0,0,0,0,0,21,
,,Lancaster County,0,0,0,,0,0,0,0,0,0,1,
,,Lawrence County,0,0,0,,0,0,0,0,0,0,0,
,,Lebanon County,0,0,0,,0,0,0,0,0,0,0,
,,Lehigh County,0,0,0,,0,0,0,0,0,0,1,
,,Luzerne County,0,0,0,,0,0,0,0,0,0,56,
,,Lycoming County,0,0,0,,0,0,0,0,0,0,3,
,,McKean County,0,0,0,,0,0,0,0,0,0,0,
,,Mercer County,0,0,0,,0,0,0,0,0,0,0,
,,Mifflin County,0,0,0,,0,0,0,0,0,0,0,
,,Monroe County,0,0,0,,0,0,0,0,0,0,1,
,,Montgomery County,0,0,0,,0,0,0,0,0,0,0,
,,Montour County,0,0,0,,0,0,0,0,0,0,0,
,,Northampton County,0,0,0,,0,0,0,0,0,0,1,
,,Northumberland County,0,0,0,,0,0,0,0,0,0,3,
,,Perry County,0,0,0,,0,0,0,0,0,0,0,
,,Philadelphia County,0,0,0,,0,0,0,0,0,0,0,
,,Pike County,0,0,0,,0,0,0,0,0,0,2,
,,Potter County,0,0,0,,0,0,0,0,0,0,0,
,,Schuylkill County,0,0,0,,0,0,0,0,0,0,20,
,,Snyder County,0,0,0,,0,0,0,0,0,0,1,
,,Somerset County,0,0,0,,0,0,0,0,0,0,0,
,,Sullivan County,0,0,0,,0,0,0,0,0,0,0,
,,Susquehanna County,0,0,0,,0,0,0,0,0,0,0,
,,Tioga County,0,0,0,,0,0,0,0,0,0,0,
,,Union County,0,0,0,,0,0,0,0,0,0,2,
,,Venango County,0,0,0,,0,0,0,0,0,0,0,
,,Warren County,0,0,0,,0,0,0,0,0,0,0,
,,Washington County,0,0,0,,0,0,0,0,0,0,1,
,,Wayne County,0,0,0,,0,0,0,0,0,0,0,
,,Westmoreland County,0,0,0,,0,0,0,0,0,0,0,
,,Wyoming County,0,0,0,,0,0,0,0,0,0,2,
,,York County,0,0,0,,0,0,0,0,0,0,1,
,Bureau of Narcotics:,Armstrong County,0,0,0,,0,0,0,0,0,0,0,
,,Beaver County,0,0,0,,0,0,0,0,0,0,0,
,,Berks County,0,0,0,,0,0,0,0,0,0,0,
,,Blair County,0,0,0,,0,0,0,0,0,0,0,
,,Bradford County,0,0,0,,0,0,0,0,0,0,0,
,,Bucks County,0,0,0,,0,0,0,0,0,0,0,
,,Butler County,0,0,0,,0,0,0,0,0,0,0,
,,Cameron County,0,0,0,,0,0,0,0,0,0,0,
,,Carbon County,0,0,0,,0,0,0,0,0,0,0,
,,Centre County,0,0,0,,0,0,0,0,0,0,0,
,,Chester County,0,0,0,,0,0,0,0,0,0,0,
,,Clarion County,0,0,0,,0,0,0,0,0,0,0,
,,Clearfield County,0,0,0,,0,0,0,0,0,0,0,
,,Clinton County,0,0,0,,0,0,0,0,0,0,0,
,,Columbia County,0,0,0,,0,0,0,0,0,0,0,
,,Crawford County,0,0,0,,0,0,0,0,0,0,0,
,,Delaware County,0,0,0,,0,0,0,0,0,0,0,
,,Elk County,0,0,0,,0,0,0,0,0,0,0,
,,Erie County,0,0,0,,0,0,0,0,0,0,0,
,,Forest County,0,0,0,,0,0,0,0,0,0,0,
,,Huntingdon County,0,0,0,,0,0,0,0,0,0,0,
,,Indiana County,0,0,0,,0,0,0,0,0,0,0,
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0,
,,Juniata County,0,0,0,,0,0,0,0,0,0,0,
,,Lackawanna County,0,0,0,,0,0,0,0,0,0,0,
,,Lawrence County,0,0,0,,0,0,0,0,0,0,0,
,,Lehigh County,0,0,0,,0,0,0,0,0,0,0,
,,Luzerne County,0,0,0,,0,0,0,0,0,0,0,
,,Lycoming County,0,0,0,,0,0,0,0,0,0,0,
,,McKean County,0,0,0,,0,0,0,0,0,0,0,
,,Mercer County,0,0,0,,0,0,0,0,0,0,0,
,,Mifflin County,0,0,0,,0,0,0,0,0,0,0,
,,Monroe County,0,0,0,,0,0,0,0,0,0,0,
,,Montgomery County,0,0,0,,0,0,0,0,0,0,0,
,,Montour County,0,0,0,,0,0,0,0,0,0,0,
,,Northampton County,0,0,0,,0,0,0,0,0,0,0,
,,Northumberland County,0,0,0,,0,0,0,0,0,0,0,
,,Philadelphia County,0,0,0,,0,0,0,0,0,0,0,
,,Pike County,0,0,0,,0,0,0,0,0,0,0,
,,Potter County,0,0,0,,0,0,0,0,0,0,0,
,,Schuylkill County,0,0,0,,0,0,0,0,0,0,0,
,,Snyder County,0,0,0,,0,0,0,0,0,0,0,
,,Sullivan County,0,0,0,,0,0,0,0,0,0,0,
,,Susquehanna County,0,0,0,,0,0,0,0,0,0,0,
,,Tioga County,0,0,0,,0,0,0,0,0,0,0,
,,Union County,0,0,0,,0,0,0,0,0,0,0,
,,Venango County,0,0,0,,0,0,0,0,0,0,0,
,,Warren County,0,0,0,,0,0,0,0,0,0,0,
,,Wayne County,0,0,0,,0,0,0,0,0,0,0,
,,Wyoming County,0,0,0,,0,0,0,0,0,0,0,
,Pennsylvania Fish and Boat Commission,,2,0,0,,0,2,0,0,0,0,0,
,State Capitol Police,,3,0,0,,2,1,31,4,27,0,0,
,State Park Rangers: ,Bald Eagle,0,0,0,,0,0,2,0,0,2,0,
,,Beltzville,1,0,0,,0,1,13,0,13,0,0,
,,Ben Rush,0,0,0,,0,0,0,0,0,0,0,
,,Bendigo,0,0,0,,0,0,0,0,0,0,0,
,,Black Moshannon,0,0,0,,0,0,0,0,0,0,0,
,,Blue Knob,0,0,0,,0,0,0,0,0,0,0,
,,Caledonia,0,0,0,,0,0,1,0,1,0,0,
,,Canoe Creek,0,0,0,,0,0,0,0,0,0,0,
,,Chapman,0,0,0,,0,0,2,0,2,0,0,
,,Clear Creek,0,0,0,,0,0,0,0,0,0,0,
,,Codorus,0,0,0,,0,0,2,0,2,0,0,
,,Colonel Denning,0,0,0,,0,0,0,0,0,0,0,
,,Cook Forest,1,0,0,,0,1,0,0,0,0,0,
,,Cowans Gap,0,0,0,,0,0,3,0,3,0,0,
,,Delaware Canal,1,0,0,,1,0,4,0,4,0,2,
,,Evansburg,0,0,0,,0,0,0,0,0,0,0,
,,Fort Washington,0,0,0,,0,0,0,0,0,0,0,
,,Frances Slocum,0,0,0,,0,0,5,1,4,0,0,
,,French Creek,0,0,0,,0,0,0,0,0,0,0,
,,Gifford Pinchot,0,0,0,,0,0,2,0,2,0,0,
,,Greenwood Furnace,0,0,0,,0,0,1,0,1,0,0,
,,Hickory Run,0,0,0,,0,0,25,0,25,0,1,
,,Jacobsburg Environmental Education Center,0,0,0,,0,0,0,0,0,0,0,
,,Jennings Environmental Education Center,0,0,0,,0,0,0,0,0,0,0,
,,Keystone,0,0,0,,0,0,4,1,3,0,0,
,,Kings Gap Environmental Education Center,0,0,0,,0,0,0,0,0,0,0,
,,Kooser,0,0,0,,0,0,0,0,0,0,0,
,,Laurel Hill,1,0,0,,0,1,3,0,3,0,1,
,,Laurel Ridge,3,0,0,,0,3,2,0,2,0,1,
,,Linn Run,0,0,0,,0,0,0,0,0,0,0,
,,Little Buffalo,0,0,0,,0,0,2,0,2,0,0,
,,Marsh Creek,0,0,0,,0,0,1,0,1,0,0,
,,Maurice K. Goddard,0,0,0,,0,0,1,0,1,0,0,
,,Moraine,0,0,0,,0,0,27,0,27,0,1,
,,Neshaminy,0,0,0,,0,0,1,0,1,0,0,
,,Ohiopyle,0,0,0,,0,0,26,4,22,0,1,
,,Oil Creek,0,0,0,,0,0,0,0,0,0,0,
,,Parker Dam,0,0,0,,0,0,0,0,0,0,0,
,,Pine Grove Furnace,0,0,0,,0,0,1,0,1,0,0,
,,Presque Isle,0,0,0,,0,0,22,1,21,0,0,
,,Prince Gallitzin,0,0,0,,0,0,2,0,2,0,0,
,,Promised Land,0,0,0,,0,0,4,0,4,0,0,
,,Pymatuning,0,0,0,,0,0,0,0,0,0,0,
,,Raccoon Creek,0,0,0,,0,0,1,0,1,0,0,
,,Raymond B. Winter,0,0,0,,0,0,0,0,0,0,0,
,,Ricketts Glen,0,0,0,,0,0,0,0,0,0,0,
,,Ridley Creek,0,0,0,,0,0,2,0,2,0,0,
,,Samuel S. Lewis,0,0,0,,0,0,0,0,0,0,0,
,,Shawnee,0,0,0,,0,0,1,1,0,0,0,
,,Shikellamy,1,0,1,,0,0,0,0,0,0,0,
,,Sizerville,0,0,0,,0,0,0,0,0,0,0,
,,Susquehannock,0,0,0,,0,0,0,0,0,0,0,
,,Tobyhanna,0,0,0,,0,0,0,0,0,0,0,
,,Trough Creek,0,0,0,,0,0,0,0,0,0,0,
,,Tuscarora,0,0,0,,0,0,0,0,0,0,0,
,,Tyler,0,0,0,,0,0,0,0,0,0,0,
,,White Clay,0,0,0,,0,0,0,0,0,0,0,
,,Worlds End,0,0,0,,0,0,0,0,0,0,0,
,,Yellow Creek,0,0,0,,0,0,2,0,2,0,1,
,"State Police, Bureau of Criminal Investigation:",Adams County,0,0,0,,0,0,0,0,0,0,0,
,,Allegheny County,1,0,0,,1,0,2,0,2,0,0,
,,Armstrong County,0,0,0,,0,0,1,0,1,0,0,
,,Beaver County,0,0,0,,0,0,0,0,0,0,0,
,,Bedford County ,0,0,0,,0,0,0,0,0,0,0,
,,Berks County,0,0,0,,0,0,0,0,0,0,0,
,,Blair County,0,0,0,,0,0,0,0,0,0,0,
,,Bradford County,0,0,0,,0,0,0,0,0,0,0,
,,Bucks County,0,0,0,,0,0,8,2,1,5,0,
,,Butler County,0,0,0,,0,0,3,0,3,0,0,
,,Cambria County,0,0,0,,0,0,1,0,1,0,0,
,,Cameron County ,0,0,0,,0,0,0,0,0,0,0,
,,Carbon County ,0,0,0,,0,0,0,0,0,0,0,
,,Centre County,0,0,0,,0,0,0,0,0,0,0,
,,Chester County ,0,0,0,,0,0,6,1,1,4,0,
,,Clarion County ,0,0,0,,0,0,0,0,0,0,0,
,,Clearfield County,0,0,0,,0,0,0,0,0,0,0,
,,Clinton County,0,0,0,,0,0,0,0,0,0,0,
,,Columbia County,0,0,0,,0,0,0,0,0,0,0,
,,Crawford County,0,0,0,,0,0,1,0,1,0,0,
,,Cumberland County,0,0,0,,0,0,0,0,0,0,0,
,,Dauphin County,1,0,1,,0,0,2,0,2,0,0,
,,Delaware County,0,0,0,,0,0,1,0,0,1,0,
,,Elk County,0,0,0,,0,0,0,0,0,0,0,
,,Erie County,0,0,0,,0,0,1,0,1,0,0,
,,Fayette County,2,0,2,,0,0,0,0,0,0,0,
,,Forest County,0,0,0,,0,0,0,0,0,0,0,
,,Franklin County,0,0,0,,0,0,0,0,0,0,0,
,,Fulton County,0,0,0,,0,0,0,0,0,0,0,
,,Greene County,0,0,0,,0,0,1,0,1,0,0,
,,Huntingdon County,0,0,0,,0,0,0,0,0,0,0,
,,Indiana County,0,0,0,,0,0,0,0,0,0,0,
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0,
,,Juniata County,0,0,0,,0,0,0,0,0,0,0,
,,Lackawanna County,0,0,0,,0,0,0,0,0,0,2,
,,Lancaster County,0,0,0,,0,0,1,0,1,0,0,
,,Lawrence County,0,0,0,,0,0,0,0,0,0,0,
,,Lebanon County,0,0,0,,0,0,0,0,0,0,0,
,,Lehigh County,0,0,0,,0,0,4,0,0,4,0,
,,Luzerne County,1,0,1,,0,0,0,0,0,0,0,
,,Lycoming County,0,0,0,,0,0,0,0,0,0,0,
,,McKean County,0,0,0,,0,0,0,0,0,0,0,
,,Mercer County,0,0,0,,0,0,0,0,0,0,0,
,,Mifflin County,0,0,0,,0,0,0,0,0,0,0,
,,Monroe County,0,0,0,,0,0,0,0,0,0,0,
,,Montgomery County,0,0,0,,0,0,8,2,0,6,0,
,,Montour County,0,0,0,,0,0,0,0,0,0,0,
,,Northampton County,0,0,0,,0,0,1,0,1,0,0,
,,Northumberland County,0,0,0,,0,0,0,0,0,0,0,
,,Perry County,0,0,0,,0,0,0,0,0,0,0,
,,Philadelphia County,0,0,0,,0,0,26,1,1,24,0,
,,Pike County,0,0,0,,0,0,0,0,0,0,0,
,,Potter County,0,0,0,,0,0,0,0,0,0,0,
,,Schuylkill County,1,0,1,,0,0,0,0,0,0,0,
,,Snyder County,0,0,0,,0,0,0,0,0,0,0,
,,Somerset County,0,0,0,,0,0,0,0,0,0,0,
,,Sullivan County,0,0,0,,0,0,0,0,0,0,0,
,,Susquehanna County,0,0,0,,0,0,0,0,0,0,0,
,,Tioga County,0,0,0,,0,0,0,0,0,0,0,
,,Union County,0,0,0,,0,0,0,0,0,0,0,
,,Venango County,0,0,0,,0,0,0,0,0,0,0,
,,Warren County,0,0,0,,0,0,0,0,0,0,0,
,,Washington County,0,0,0,,0,0,2,1,1,0,0,
,,Wayne County,0,0,0,,0,0,0,0,0,0,0,
,,Westmoreland County,1,0,1,,0,0,3,0,3,0,0,
,,Wyoming County,0,0,0,,0,0,0,0,0,0,0,
,,York County,1,0,1,,0,0,1,0,1,0,0,
,State Police:,Adams County,82,0,24,,3,55,556,168,372,16,1,
,,Allegheny County,25,1,0,,2,22,148,1,147,0,0,
,,Armstrong County,54,0,19,,8,27,349,121,212,16,2,
,,Beaver County,16,0,1,,4,11,121,41,70,10,3,
,,Bedford County,49,2,15,,7,25,481,169,305,7,3,
,,Berks County,143,0,21,,16,106,654,235,392,27,8,
,,Blair County,16,0,7,,0,9,139,52,80,7,1,
,,Bradford County,56,1,37,,0,18,544,208,315,21,3,
,,Bucks County,25,0,3,,3,19,317,41,271,5,0,
,,Butler County,48,0,11,,10,27,561,184,357,20,4,
,,Cambria County,48,1,12,,3,32,111,39,58,14,4,
,,Cameron County,5,0,3,,0,2,30,14,16,0,0,
,,Carbon County,20,1,7,,3,9,295,105,173,17,2,
,,Centre County,84,0,34,,2,48,411,127,269,15,4,
,,Chester County,92,0,27,,16,49,"1,081",309,748,24,6,
,,Clarion County,31,0,18,,3,10,345,57,277,11,1,
,,Clearfield County,210,1,169,,3,37,302,103,182,17,8,
,,Clinton County,21,1,6,,3,11,230,35,191,4,1,
,,Columbia County,8,1,1,,0,6,157,61,92,4,1,
,,Crawford County,56,2,5,,2,47,777,342,398,37,4,
,,Cumberland County,66,1,30,,14,21,621,117,496,8,2,
,,Delaware County,91,0,3,,16,72,837,109,708,20,3,
,,Elizabethville,129,0,52,,4,73,831,153,658,20,8,
,,Elk County,15,0,6,,4,5,122,21,92,9,4,
,,Erie County,92,2,21,,19,50,"1,430",252,"1,137",41,5,
,,Fayette County,163,2,27,,49,85,"1,750",477,"1,195",78,17,
,,Franklin County,113,3,36,,23,51,"1,200",288,842,70,4,
,,Fulton County,25,2,6,,2,15,119,29,87,3,1,
,,Greene County,38,0,4,,9,25,454,124,291,39,1,
,,Huntingdon County,72,0,18,,4,50,437,134,289,14,8,
,,Indiana County,113,0,73,,13,27,769,187,552,30,4,
,,Jefferson County,23,1,8,,2,12,234,72,150,12,4,
,,Juniata County,27,1,12,,1,13,197,51,139,7,2,
,,Lackawanna County,30,0,19,,2,9,125,58,59,8,11,
,,Lancaster County,111,2,60,,10,39,682,269,394,19,6,
,,Lawrence County,15,1,5,,1,8,209,77,117,15,4,
,,Lebanon County,62,0,15,,3,44,392,105,260,27,4,
,,Lehigh County,40,0,10,,8,22,756,134,603,19,3,
,,Luzerne County,117,12,15,,18,72,918,188,700,30,6,
,,Lycoming County,97,0,33,,7,57,647,160,465,22,2,
,,McKean County,13,2,4,,1,6,102,26,74,2,1,
,,Mercer County,28,0,10,,4,14,328,117,203,8,1,
,,Mifflin County,9,2,4,,0,3,99,33,62,4,1,
,,Monroe County,128,1,36,,33,58,"1,349",466,840,43,8,
,,Montour County,14,0,3,,2,9,61,26,33,2,0,
,,Northampton County,13,0,4,,0,9,315,61,241,13,3,
,,Northumberland County,30,0,7,,4,19,218,86,124,8,1,
,,Perry County,67,2,23,,7,35,490,155,320,15,2,
,,Philadelphia County,11,0,0,,0,11,7,0,6,1,0,
,,Pike County,62,2,29,,7,24,449,194,239,16,7,
,,Potter County,37,0,18,,0,19,141,62,67,12,2,
,,Schuylkill County,129,7,49,,17,56,736,175,526,35,8,
,,Skippack ,58,0,13,,7,38,499,75,407,17,14,
,,Snyder County,15,0,6,,3,6,306,46,255,5,1,
,,Somerset County,35,0,13,,4,18,571,168,382,21,6,
,,Sullivan County,15,0,6,,0,9,117,46,65,6,0,
,,Tioga County,15,0,3,,4,8,315,91,213,11,1,
,,Tionesta,24,0,8,,0,16,63,26,36,1,3,
,,Union County,23,0,7,,8,8,241,48,186,7,0,
,,Venango County,24,0,9,,4,11,340,80,253,7,0,
,,Warren County,28,0,12,,1,15,243,92,141,10,3,
,,Washington County,76,3,19,,15,39,733,163,539,31,6,
,,Wayne County,55,0,25,,1,29,528,147,365,16,5,
,,Westmoreland County,133,1,39,,31,62,"1,445",390,"1,001",54,10,
,,Wyoming County,19,3,4,,3,9,268,80,174,14,0,
,,York County,177,2,12,,16,147,727,190,512,25,15,
PENNSYLVANIAÑOther Agencies,Allegheny County District Attorney,Criminal Investigation Division,2,0,1,,0,1,40,0,40,0,0,
,Allegheny County Housing Authority,,14,4,0,,0,10,17,5,12,0,0,
,County Detective:,Beaver County,3,0,0,,0,3,1,0,1,0,0,
,,Berks County,175,0,3,,0,172,11,1,6,4,0,
,,Bucks County,1,0,1,,0,0,3,0,3,0,0,
,,Butler County,0,0,0,,0,0,3,0,3,0,0,
,,Clarion County,1,0,0,,0,1,0,0,0,0,0,
,,Cumberland County,4,0,0,,0,4,0,0,0,0,0,
,,Erie County,0,0,0,,0,0,1,1,0,0,0,
,,Lackawanna County,10,0,1,,0,9,0,0,0,0,0,
,,Lebanon County,0,0,0,,0,0,1,0,1,0,0,
,,Lehigh County,4,0,0,,4,0,65,5,0,60,0,
,,Luzerne County,2,0,0,,0,2,2,0,2,0,0,
,,McKean County,0,0,0,,0,0,3,0,3,0,0,
,,Montgomery County,10,0,0,,0,10,7,3,4,0,5,
,,Montour County,0,0,0,,0,0,0,0,0,0,0,
,,Pike County,1,0,0,,0,1,1,0,1,0,0,
,,Schuylkill County,0,0,0,,0,0,0,0,0,0,0,
,,Westmoreland County,8,0,2,,0,6,69,0,69,0,0,
,,York County,0,0,0,,0,0,4,0,3,1,0,
